date,race_id,track,distance,weather,ground_condition,race_name,horse_id,horse_key,horse_name,rank,frame_no,gate_no,sex,age,weight,jockey_id,jockey_key,trainer_id,trainer_key,finish_time,margin,closing_time_3f,passing_order,popularity
2007-03-29,2007032920220501,大井,1200,晴,良,３歳,2007032920220501:9,2004103556,ピンクロイヤル,1,6,9,牝,3,455.0,水野貴史,30676,松浦備,10231,1:16.4,-,39.7,2-1,5.0
2007-03-29,2007032920220501,大井,1200,晴,良,３歳,2007032920220501:12,2004104631,ネンガン,2,7,12,牝,3,454.0,真島大輔,31053,阪本一栄,10940,1:16.6,１,39.7,3-3,3.0
2007-03-29,2007032920220501,大井,1200,晴,良,３歳,2007032920220501:13,2004100304,カイウンオウジ,3,8,13,牡,3,441.0,張田京,30059,栗田裕光,10197,1:16.8,１,39.6,5-4,6.0
2007-03-29,2007032920220501,大井,1200,晴,良,３歳,2007032920220501:5,2004106612,サザンレイスター,4,4,5,牝,3,437.0,戸崎圭太,30943,佐々木忠昭,11023,1:17.0,１,39.3,8-7,7.0
2007-03-29,2007032920220501,大井,1200,晴,良,３歳,2007032920220501:4,2004109252,ワカコマシルバー,5,3,4,牝,3,447.0,有年淳,31072,久保杉利明,10193,1:17.2,１,39.1,9-9,14.0
2007-03-29,2007032920220501,大井,1200,晴,良,３歳,2007032920220501:3,2004106284,アオイビッグボーイ,6,3,3,牡,3,442.0,御神本訓史,30983,太田進,10180,1:17.2,クビ,39.5,7-7,2.0
2007-03-29,2007032920220501,大井,1200,晴,良,３歳,2007032920220501:11,2004109213,セユウエイト,7,7,11,牡,3,452.0,的場直之,30846,嶋田幸晴,11300,1:17.5,１ 1/2,40.0,6-6,10.0
2007-03-29,2007032920220501,大井,1200,晴,良,３歳,2007032920220501:6,2004101753,キュベレイ,8,4,6,牝,3,447.0,早田秀治,30127,山田秀太郎,10236,1:17.6,1/2,40.4,4-5,8.0
2007-03-29,2007032920220501,大井,1200,晴,良,３歳,2007032920220501:10,2004100107,ロッキーブーケ,9,6,10,牝,3,486.0,加藤和博,30815,久保與造,10192,1:18.0,２,41.3,1-1,1.0
2007-03-29,2007032920220501,大井,1200,晴,良,３歳,2007032920220501:7,2004101436,ムービングハート,10,5,7,牝,3,463.0,柏木健宏,31022,柏木一夫,10189,1:18.0,クビ,39.4,11-11,4.0
2007-03-29,2007032920220501,大井,1200,晴,良,３歳,2007032920220501:2,2004107272,アポロエックス,11,2,2,牡,3,540.0,荒山勝徳,30100,秋吉和美,11131,1:18.1,クビ,39.8,10-10,9.0
2007-03-29,2007032920220501,大井,1200,晴,良,３歳,2007032920220501:1,2004104333,グランドアステカ,12,1,1,牝,3,409.0,☆高野毅,31122,五百藏幸雄,10177,1:18.2,クビ,39.3,13-12,12.0
2007-03-29,2007032920220501,大井,1200,晴,良,３歳,2007032920220501:8,2004106846,ナルセヒカリ,13,5,8,セ,3,488.0,坂井英光,30844,藤江昭徳,11178,1:18.7,２ 1/2,39.2,14-14,11.0
2007-03-29,2007032920220501,大井,1200,晴,良,３歳,2007032920220501:14,2004100227,ウエルスドカティ,14,8,14,牡,3,497.0,納谷和玖,30710,宮浦正行,11276,1:19.3,３,40.6,12-12,13.0
2007-03-29,2007032920220502,大井,1400,晴,良,３歳,2007032920220502:5,2004104921,トミケンビガー,1,5,5,牡,3,472.0,真島大輔,31053,渡部則夫,11084,1:31.0,-,40.7,2-2-2,1.0
2007-03-29,2007032920220502,大井,1400,晴,良,３歳,2007032920220502:6,2004105955,イシノクロス,2,6,6,牝,3,442.0,加藤和博,30815,高柳恒男,10211,1:31.6,３,41.3,1-1-1,3.0
2007-03-29,2007032920220502,大井,1400,晴,良,３歳,2007032920220502:2,2004102041,サプライズヒーロー,3,2,2,牡,3,468.0,的場直之,30846,嶋田幸晴,11300,1:31.9,１ 1/2,40.8,4-5-5,2.0
2007-03-29,2007032920220502,大井,1400,晴,良,３歳,2007032920220502:9,2004103390,エビスチャンス,4,8,9,牡,3,522.0,納谷和玖,30710,栗田知治,11230,1:32.2,１ 1/2,41.3,4-4-4,5.0
2007-03-29,2007032920220502,大井,1400,晴,良,３歳,2007032920220502:4,2004101835,テイエスラフランス,5,4,4,牝,3,448.0,達城龍次,30878,村上頼章,11101,1:32.3,1/2,41.5,3-3-3,4.0
2007-03-29,2007032920220502,大井,1400,晴,良,３歳,2007032920220502:8,2004103660,マイトップレディー,6,8,8,牝,3,400.0,酒井忍,30706,森谷良臣,11138,1:32.3,アタマ,40.2,8-8-8,8.0
2007-03-29,2007032920220502,大井,1400,晴,良,３歳,2007032920220502:3,2004103822,ルヴァンシュ,7,3,3,牝,3,482.0,和田譲治,31074,堀千亜樹,11289,1:32.6,１ 1/2,41.5,4-5-6,6.0
